DateTime,C1 Pressure (m),C2 Flow (m3/h),C3 Pressure (m)
19-11-2019 00:00,abc,abc,abc
19-11-2019 00:15,41.100,24.960,def
19-11-2019 00:30,41.400,28.680,35.400
19-11-2019 00:45,41.500,24.160,35.700
19-11-2019 01:00,41.600,23.560,35.700
19-11-2019 01:15,41.600,22.880,35.700
19-11-2019 01:30,41.600,22.480,35.700
19-11-2019 01:45,41.600,21.320,35.700
19-11-2019 02:00,41.600,19.080,35.900
19-11-2019 02:15,41.600,20.520,35.800
19-11-2019 02:30,41.600,21.440,35.700
19-11-2019 02:45,41.600,20.440,35.800
19-11-2019 03:00,41.600,19.680,35.900
19-11-2019 03:15,41.600,21.240,35.700
19-11-2019 03:30,41.600,19.600,35.900
19-11-2019 03:45,41.600,20.640,35.700
19-11-2019 04:00,41.600,19.680,35.800
19-11-2019 04:15,41.600,21.760,35.700
19-11-2019 04:30,41.500,22.880,35.600
19-11-2019 04:45,42.200,25.600,35.700
19-11-2019 05:00,43.400,29.400,36.100
19-11-2019 05:15,45.000,30.640,36.500
19-11-2019 05:30,46.400,31.480,37.000
19-11-2019 05:45,48.000,33.600,37.100
19-11-2019 06:00,49.200,36.800,37.200
19-11-2019 06:15,50.600,44.360,37.200
19-11-2019 06:30,52.300,50.640,37.200
19-11-2019 06:45,53.900,52.200,37.400
19-11-2019 07:00,55.900,62.760,37.400
19-11-2019 07:15,58.200,68.560,37.400
19-11-2019 07:30,57.900,71.640,37.400
19-11-2019 07:45,57.600,76.280,37.200
19-11-2019 08:00,57.200,80.640,37.100
19-11-2019 08:15,57.200,73.000,37.400
19-11-2019 08:30,57.400,72.160,37.400
19-11-2019 08:45,57.700,63.280,37.600
19-11-2019 09:00,57.600,61.200,37.600
19-11-2019 09:15,57.600,61.840,37.500
19-11-2019 09:30,57.400,63.600,37.500
19-11-2019 09:45,57.200,63.800,37.500
19-11-2019 10:00,57.000,63.440,37.500
19-11-2019 10:15,56.700,66.040,37.400
19-11-2019 10:30,56.700,67.760,37.400
19-11-2019 10:45,56.900,64.400,37.500
19-11-2019 11:00,56.600,68.440,37.400
19-11-2019 11:15,57.000,65.840,37.500
19-11-2019 11:30,56.900,62.760,37.500
19-11-2019 11:45,56.900,61.480,37.500
19-11-2019 12:00,56.800,64.520,37.500
19-11-2019 12:15,57.200,58.880,37.700
19-11-2019 12:30,57.000,61.520,37.500
19-11-2019 12:45,57.100,60.080,37.600
19-11-2019 13:00,57.200,59.040,37.700
19-11-2019 13:15,57.000,54.160,37.700
19-11-2019 13:30,57.100,59.080,37.600
19-11-2019 13:45,57.000,60.280,37.500
19-11-2019 14:00,57.200,59.160,37.700
19-11-2019 14:15,57.300,55.120,37.700
19-11-2019 14:30,57.200,58.160,37.600
19-11-2019 14:45,57.300,56.880,37.700
19-11-2019 15:00,57.400,53.680,37.700
19-11-2019 15:15,57.300,58.800,37.500
19-11-2019 15:30,57.400,54.880,37.700
19-11-2019 15:45,57.100,60.440,37.500
19-11-2019 16:00,56.800,63.080,37.500
19-11-2019 16:15,56.700,66.280,37.400
19-11-2019 16:30,56.900,63.080,37.500
19-11-2019 16:45,56.800,63.520,37.500
19-11-2019 17:00,57.300,71.240,37.400
19-11-2019 17:15,58.400,71.520,37.400
19-11-2019 17:30,58.700,66.640,37.500
19-11-2019 17:45,58.100,75.440,37.300
19-11-2019 18:00,58.000,73.280,37.400
19-11-2019 18:15,58.100,73.160,37.400
19-11-2019 18:30,58.000,77.720,37.300
19-11-2019 18:45,57.900,76.560,37.300
19-11-2019 19:00,58.100,72.200,37.400
19-11-2019 19:15,58.000,79.360,37.200
19-11-2019 19:30,57.300,74.240,37.400
19-11-2019 19:45,55.800,71.720,37.200
19-11-2019 20:00,55.000,69.760,37.200
19-11-2019 20:15,53.200,75.640,37.000
19-11-2019 20:30,51.400,70.280,36.900
19-11-2019 20:45,48.900,67.880,36.600
19-11-2019 21:00,48.300,62.080,36.700
19-11-2019 21:15,47.200,61.160,36.500
19-11-2019 21:30,46.900,58.480,36.500
19-11-2019 21:45,46.300,53.960,36.400
19-11-2019 22:00,45.500,52.360,36.300
19-11-2019 22:15,44.400,55.680,35.900
19-11-2019 22:30,44.100,51.280,35.900
19-11-2019 22:45,43.500,46.280,35.900
19-11-2019 23:00,43.400,41.480,35.900
19-11-2019 23:15,42.600,38.160,35.700
19-11-2019 23:30,41.300,36.000,35.200
19-11-2019 23:45,41.200,32.240,35.200
20-11-2019 00:00,41.200,30.480,35.300
20-11-2019 00:15,41.200,27.600,35.400
20-11-2019 00:30,41.500,27.880,35.500
20-11-2019 00:45,41.600,25.120,35.700
20-11-2019 01:00,41.600,25.440,35.600
20-11-2019 01:15,41.700,23.840,35.700
20-11-2019 01:30,41.700,22.040,35.900
20-11-2019 01:45,41.700,21.840,36.000
20-11-2019 02:00,41.700,22.480,35.800
20-11-2019 02:15,41.700,22.520,35.800
20-11-2019 02:30,41.800,19.680,35.900
20-11-2019 02:45,41.700,20.760,35.800
20-11-2019 03:00,41.700,20.080,35.900
20-11-2019 03:15,41.700,19.760,35.800
20-11-2019 03:30,41.800,20.280,35.800
20-11-2019 03:45,41.700,20.840,35.700
20-11-2019 04:00,41.700,20.800,35.700
20-11-2019 04:15,41.700,23.040,35.700
20-11-2019 04:30,41.700,23.440,35.600
20-11-2019 04:45,42.100,24.720,35.700
20-11-2019 05:00,43.200,27.520,36.100
20-11-2019 05:15,44.800,31.800,36.400
20-11-2019 05:30,46.200,32.480,36.800
20-11-2019 05:45,47.800,34.920,37.100
20-11-2019 06:00,49.500,35.600,37.300
20-11-2019 06:15,50.500,48.040,37.100
20-11-2019 06:30,52.300,51.080,37.200
20-11-2019 06:45,53.900,58.800,37.200
20-11-2019 07:00,55.800,65.880,37.300
20-11-2019 07:15,58.000,74.440,37.300
20-11-2019 07:30,57.800,76.240,37.200
20-11-2019 07:45,57.600,80.880,37.200
20-11-2019 08:00,57.300,80.440,37.200
20-11-2019 08:15,57.100,75.480,37.200
20-11-2019 08:30,57.200,74.040,37.300
20-11-2019 08:45,57.600,69.200,37.500
