all_datetime,90515_1,90516_1,90517_1,90518_1,90519_1,90520_1,90521_1,90522_1,90523_1,03805_PRV_1,03805_PRV_3
2019-11-28 00:00:00,38,30,38.3,27.5,39,,40.2,72.7,-0.1,40.7,34.9
2019-11-28 00:15:00,37.9,29.9,38.2,27.2,39,,40.3,72.8,-0.1,40.9,35.2
2019-11-28 00:30:00,37.9,29.8,38.1,27.2,39,,40.2,72.8,-0.1,41.4,35.4
2019-11-28 00:45:00,37.9,29.9,38.3,27.4,39.1,,40.3,72.7,-0.1,41.4,35.4
2019-11-28 01:00:00,37.7,29.8,38.1,27.3,38.9,,40.1,73.1,-0.1,41.5,35.5
2019-11-28 01:15:00,37.6,29.6,37.9,27,38.7,,40,73,-0.1,41.5,35.6
2019-11-28 01:30:00,37.6,29.6,38,27.1,38.8,,40,72.9,-0.1,41.5,35.6
2019-11-28 01:45:00,37.6,29.7,37.9,27.1,38.7,,40,73.1,-0.1,41.5,35.5
2019-11-28 02:00:00,37.5,29.6,37.9,27.1,38.6,,39.9,73.2,-0.1,41.5,35.6
2019-11-28 02:15:00,37.6,29.6,38,27.2,38.7,,40,73.3,-0.1,41.5,35.7
2019-11-28 02:30:00,37.6,29.6,37.9,27.2,38.7,,40,73.3,-0.1,41.5,35.6
2019-11-28 02:45:00,37.6,29.8,38,27.4,38.8,,40.1,73.7,-0.1,41.5,35.6
2019-11-28 03:00:00,37.6,29.7,38.1,27.5,38.8,,40.1,73.3,-0.1,41.5,35.6
2019-11-28 03:15:00,37.6,29.7,38,27.3,38.8,,40.1,73.5,-0.1,41.5,35.6
2019-11-28 03:30:00,37.6,29.7,38,27.3,38.8,,40,73.6,-0.1,41.5,35.6
2019-11-28 03:45:00,37.6,29.7,38,27.1,38.8,,40,74,-0.1,41.5,35.6
2019-11-28 04:00:00,37.6,29.6,37.9,27,38.7,,39.9,73.8,-0.1,41.5,35.6
2019-11-28 04:15:00,37.6,29.6,38,27.1,38.8,,40,73.8,-0.1,41.5,35.4
2019-11-28 04:30:00,37.5,29.6,37.8,26.9,38.6,,39.8,74,-0.1,41.5,35.4
2019-11-28 04:45:00,37.6,29.6,37.9,27.2,38.7,,40,74.1,-0.1,41.8,35.6
2019-11-28 05:00:00,37.5,29.4,37.8,26.7,38.6,,39.8,74,-0.1,42.9,35.8
2019-11-28 05:15:00,37.6,29.6,37.8,27.1,38.6,,39.8,73.6,-0.1,44.8,36.4
2019-11-28 05:30:00,38.2,30.1,38.4,27.4,39.1,,40.3,73.8,-0.1,45.9,36.6
2019-11-28 05:45:00,38.6,30.1,38.5,27.4,39.3,,40.6,73.9,-0.1,47.7,36.9
2019-11-28 06:00:00,38.6,30.4,38.7,27.8,39.3,,40.5,73.6,-0.1,49.3,37
2019-11-28 06:15:00,39.3,30.7,39.1,27.4,39.8,,41.1,73.5,-0.1,50.6,
2019-11-28 06:30:00,39.6,30.7,39.1,27.5,39.8,,41,73.4,-0.1,52.2,37.1
2019-11-28 06:45:00,40.3,30.9,39.7,28.4,40.4,,41.5,73.2,-0.1,53.9,37.1
2019-11-28 07:00:00,40.5,31.1,39.8,27.9,40.4,,41.6,72.9,-0.1,55.6,37.1
2019-11-28 07:15:00,40.7,30.6,39.8,28.3,40.4,,41.7,72.3,-0.1,58,37.1
2019-11-28 07:30:00,41.7,30.8,40,28.6,40.6,,42,72.2,-0.1,58,37
2019-11-28 07:45:00,41.7,31.3,40.2,28.2,40.7,,41.8,72,-0.1,57.7,37
2019-11-28 08:00:00,41.9,31.1,40,28.4,40.9,,42.1,72,0,57.5,37
2019-11-28 08:15:00,41.7,31,39.9,28,40.7,,42,72.1,0,57.3,37.1
2019-11-28 08:30:00,41,31.2,40.1,28.3,40.8,,42,72.4,-0.1,57.3,37
2019-11-28 08:45:00,40.6,30.8,39.6,27.7,40.4,,41.6,72.6,0,57.8,37.4
2019-11-28 09:00:00,41,31.3,39.9,27.6,40.4,,41.5,72.8,0,57.6,37.4
2019-11-28 09:15:00,40.8,30.9,39.6,27.6,40.3,,41.7,72.8,0,57.7,37.4
2019-11-28 09:30:00,41.1,31.3,39.9,28.6,40.6,,41.9,72.5,0,57.6,37.3
2019-11-28 09:45:00,41.8,31.2,40.3,27.8,41,,41.7,72.8,0,57.3,37.3
2019-11-28 10:00:00,41.3,31.4,40.1,28.3,40.8,,41.9,72.7,0,57,37.2
2019-11-28 10:15:00,41.3,31.4,40,27.2,40.7,,42,72.6,0,56.7,37.3
2019-11-28 10:30:00,40.8,31,39.8,27.9,40.5,,41.7,72.7,0,57,37.4
